Date,BA,BTC-USD,EURUSD=X,GC=F,^DJI
2017-06-21 00:00:00+00:00,199.1699981689453,2689.10009765625,1.1136974096298218,1243.4000244140625,21410.029296875
2017-06-22 00:00:00+00:00,199.44000244140625,2705.409912109375,1.1167196035385132,1247.5999755859375,21397.2890625
2017-06-23 00:00:00+00:00,202.22999572753903,2744.909912109375,1.1149640083312988,1256.199951171875,21394.759765625
2017-06-24 00:00:00+00:00,,2608.719970703125,,,
2017-06-25 00:00:00+00:00,,2589.409912109375,,,
2017-06-26 00:00:00+00:00,199.97999572753903,2478.449951171875,1.1198835372924805,1246.300048828125,21409.55078125
2017-06-27 00:00:00+00:00,198.88999938964844,2552.449951171875,1.118355631828308,1246.4000244140625,21310.66015625
2017-06-28 00:00:00+00:00,199.6199951171875,2574.7900390625,1.1339154243469238,1248.0,21454.609375
2017-06-29 00:00:00+00:00,197.4600067138672,2539.320068359375,1.1382650136947632,1244.199951171875,21287.029296875
2017-06-30 00:00:00+00:00,197.75,2480.840087890625,1.144164800643921,1240.699951171875,21349.630859375
2017-07-01 00:00:00+00:00,,2434.550048828125,,,
2017-07-02 00:00:00+00:00,,2506.469970703125,,,
2017-07-03 00:00:00+00:00,198.58999633789065,2564.06005859375,1.1423088312149048,1217.9000244140625,21479.26953125
2017-07-04 00:00:00+00:00,,2601.639892578125,1.1371389627456665,,
2017-07-05 00:00:00+00:00,201.80999755859372,2601.989990234375,1.1360150575637815,1220.4000244140625,21478.169921875
2017-07-06 00:00:00+00:00,201.47999572753903,2608.56005859375,1.134687423706055,1222.199951171875,21320.0390625
2017-07-07 00:00:00+00:00,202.3699951171875,2518.659912109375,1.1424784660339355,1208.5999755859375,21414.33984375
2017-07-08 00:00:00+00:00,,2571.340087890625,,,
2017-07-09 00:00:00+00:00,,2518.43994140625,,,
2017-07-10 00:00:00+00:00,203.9600067138672,2372.56005859375,1.140380859375,1212.0999755859375,21408.51953125
2017-07-11 00:00:00+00:00,206.2700042724609,2337.7900390625,,1213.5999755859375,21409.0703125
2017-07-12 00:00:00+00:00,206.44000244140625,2398.840087890625,1.1473942995071411,1218.0999755859375,21532.140625
2017-07-13 00:00:00+00:00,206.22999572753903,2357.89990234375,1.1418914794921875,1216.300048828125,21553.08984375
2017-07-14 00:00:00+00:00,208.50999450683597,2233.340087890625,1.140393853187561,1226.5999755859375,21637.740234375
2017-07-15 00:00:00+00:00,,1998.8599853515625,,,
2017-07-16 00:00:00+00:00,,1929.8199462890625,,,
2017-07-17 00:00:00+00:00,209.0,2228.409912109375,1.147539138793945,1232.800048828125,21629.720703125
2017-07-18 00:00:00+00:00,208.2400054931641,2318.8798828125,1.1474337577819824,1241.0999755859375,21574.73046875
2017-07-19 00:00:00+00:00,210.8800048828125,2273.429931640625,1.1549744606018066,1241.199951171875,21640.75
2017-07-20 00:00:00+00:00,210.27999877929688,2817.60009765625,1.1528440713882446,1244.800048828125,21611.779296875
2017-07-21 00:00:00+00:00,212.13999938964844,2667.760009765625,1.1628718376159668,1254.300048828125,21580.0703125
2017-07-22 00:00:00+00:00,,2810.1201171875,,,
2017-07-23 00:00:00+00:00,,2730.39990234375,,,
2017-07-24 00:00:00+00:00,212.17999267578125,2754.860107421875,1.1681697368621826,1253.9000244140625,21513.169921875
2017-07-25 00:00:00+00:00,212.4600067138672,2576.47998046875,1.1638869047164917,1251.699951171875,21613.4296875
2017-07-26 00:00:00+00:00,233.4499969482422,2529.449951171875,1.164456129074097,1249.0,21711.009765625
2017-07-27 00:00:00+00:00,241.0,2671.780029296875,1.1728004217147827,1259.5999755859375,21796.55078125
2017-07-28 00:00:00+00:00,241.2700042724609,2809.010009765625,1.1688660383224487,1268.4000244140625,21830.310546875
2017-07-29 00:00:00+00:00,,2726.449951171875,,,
2017-07-30 00:00:00+00:00,,2757.179931640625,,,
2017-07-31 00:00:00+00:00,242.4600067138672,2875.340087890625,1.1747292280197144,1266.5999755859375,21891.119140625
2017-08-01 00:00:00+00:00,239.44000244140625,2718.260009765625,1.182410478591919,1272.5999755859375,21963.919921875
2017-08-02 00:00:00+00:00,237.9499969482422,2710.669921875,1.1811256408691406,1271.800048828125,22016.240234375
2017-08-03 00:00:00+00:00,238.25,2804.72998046875,1.1851149797439575,1267.800048828125,22026.099609375
2017-08-04 00:00:00+00:00,237.7100067138672,2895.889892578125,1.1884952783584597,1258.300048828125,22092.810546875
2017-08-05 00:00:00+00:00,,3252.909912109375,,,
2017-08-06 00:00:00+00:00,,3213.93994140625,,,
2017-08-07 00:00:00+00:00,240.22999572753903,3378.93994140625,1.1778424978256226,1258.199951171875,22118.419921875
2017-08-08 00:00:00+00:00,239.5,3419.93994140625,1.1800941228866575,1256.4000244140625,22085.33984375
2017-08-09 00:00:00+00:00,234.30999755859372,3342.469970703125,1.1754610538482666,1273.0,22048.69921875
2017-08-10 00:00:00+00:00,232.8800048828125,3381.280029296875,1.1761523485183716,1283.699951171875,21844.009765625
2017-08-11 00:00:00+00:00,234.8800048828125,3650.6201171875,1.177024483680725,1287.699951171875,21858.3203125
2017-08-12 00:00:00+00:00,,3884.7099609375,,,
2017-08-13 00:00:00+00:00,,4073.260009765625,,,
2017-08-14 00:00:00+00:00,237.1499938964844,4325.1298828125,1.182550311088562,1284.199951171875,21993.7109375
